lat,lng,house,evnum,building,charger,pop,pop_density,ave_traffic,loc_typ1,loc_typ2,five_days,no_five_days,weekends,no_weekends,free,no_free,tourist
37.41909456,126.6773686,0.651904898,0.611949127,0.04552352,0.323076923,0.690235086,0.4280021,0,0,1,0,1,1,0,0,1,1879648
37.41319988,126.678537,0.651904898,0.611949127,0.039453718,0.044343891,0.690235086,0.4280021,0.145097645,0,1,0,1,1,0,0,1,1879648
37.415099,126.679605,0.651904898,0.611949127,0.04400607,0.111538462,0.690235086,0.4280021,0,1,0,0,1,1,0,1,0,1879648
37.414036,126.680404,0.651904898,0.611949127,0.037936267,0.111538462,0.690235086,0.4280021,0.145097645,0,1,0,1,1,0,0,1,1879648
37.42665823,126.6661793,0.651904898,0.611949127,0.039453718,0.238461538,0.690235086,0.4280021,0,0,1,0,1,1,0,0,1,1879648
37.42714028,126.6644002,0.651904898,0.611949127,0.04552352,0.238461538,0.690235086,0.4280021,0,0,1,0,1,1,0,1,0,1879648
37.82528068,124.7177875,0,0,0.027314112,1,0,0,0,1,0,0,1,1,0,1,0,6194858
37.22237148,126.117697,0,0,0.047040971,1,0,0,0,0,1,0,1,1,0,1,0,6194858
37.21493446,126.1394484,0,0,0.004552352,1,0,0,0,0,1,0,1,1,0,1,0,6194858
37.95965383,124.6645798,0,0,0.030349014,1,0,0,0,0,1,0,1,1,0,1,0,6194858
37.97139999,124.7170132,0,0,0.068285281,1,0,0,0,0,1,0,1,1,0,1,0,6194858
37.95578034,124.7349257,0,0,0.004552352,1,0,0,0,0,1,0,1,1,0,1,0,6194858
37.95163121,124.7214044,0,0,0.006069803,1,0,0,0,0,1,0,1,1,0,1,0,6194858
37.51467352,126.4385472,0,0,0.006069803,1,0,0,0,0,1,0,1,1,0,1,0,6194858
37.26503771,126.4465617,0,0,0.015174507,1,0,0,0,0,1,0,1,1,0,1,0,6194858
37.237823,126.4576924,0,0,0.001517451,1,0,0,0,0,1,0,1,1,0,1,0,6194858
37.47153624,126.6308467,0.267242824,0.197870453,0.849772382,1,0.2304341,0.055618517,0,0,1,0,1,1,0,0,1,8611214
37.472221,126.6270319,0.267242824,0.197870453,1,0.323076923,0.2304341,0.055618517,0,0,1,0,1,1,0,0,1,8611214
37.47014308,126.6002711,0.267242824,0.197870453,0.051593323,0.187692308,0.2304341,0.055618517,0,1,0,0,1,1,0,1,0,8611214
37.47525477,126.601345,0.267242824,0.197870453,0.104704097,0.187692308,0.2304341,0.055618517,0,0,1,0,1,1,0,1,0,8611214
37.47996879,126.6198407,0.267242824,0.197870453,0.139605463,0.323076923,0.2304341,0.055618517,0,1,0,0,1,1,0,0,1,8611214
37.47379456,126.6321943,0.267242824,0.197870453,0.793626707,0.492307692,0.2304341,0.055618517,0,0,1,0,1,1,0,0,1,8611214
37.49272936,126.4845079,0.267242824,0.197870453,0,0.323076923,0.2304341,0.055618517,0,0,1,1,0,1,0,1,0,8611214
37.4700272,126.6388281,0.267242824,0.197870453,0.380880121,0.238461538,0.2304341,0.055618517,0,1,0,0,1,1,0,1,0,8611214
37.45989456,126.6082508,0.267242824,0.197870453,0.015174507,1,0.2304341,0.055618517,0,1,0,0,1,1,0,1,0,8611214
37.45758397,126.6043972,0.267242824,0.197870453,0.080424886,1,0.2304341,0.055618517,0,1,0,0,1,1,0,1,0,8611214
37.44936976,126.5978044,0.267242824,0.197870453,0.025796662,1,0.2304341,0.055618517,0,1,0,0,1,1,0,1,0,8611214
37.44904199,126.5936473,0.267242824,0.197870453,0.016691958,1,0.2304341,0.055618517,0,1,0,0,1,1,0,1,0,8611214
37.44713399,126.5963744,0.267242824,0.197870453,0.016691958,1,0.2304341,0.055618517,0,1,0,0,1,1,0,1,0,8611214
37.446186,126.6010854,0.267242824,0.197870453,0.010622155,1,0.2304341,0.055618517,0,0,1,0,1,1,0,0,1,8611214
37.4705883,126.6237378,0.267242824,0.197870453,0.638846737,0.238461538,0.2304341,0.055618517,0,0,1,0,1,1,0,0,1,8611214
